ndiscreta	cneoformans	cparapsilosis	calbicans	afumigatus	spombe	moryzae	cglabrata	ntetrasperma	fgraminearum	anidulans	ncrassa	lkluyveri	skudriavzevii	sbayanus	sparadoxus	smikatae	scerevisiae	ncastellii
		CPAR2_109570	C100120CA				CAGL0C04092g					SAKL0C10582g	Skud_4.260	Sbay_4.261	Spar_4.289	Smik_4.242	NP_010290.3	XP_003676570.1
NEUDI_107238	CNAG_01238	CPAR2_301210	C702150CA	AFUB_055650	SPBC1271.14	MGG_04210	CAGL0F06501g	NEUTE1DRAFT_76230	FGRAMPH1_01G19475	AN7722	NCU10468	SAKL0G18788g	Skud_13.218	Sbay_13.236	Spar_13.232	Smik_13.241	NP_013778.1	XP_003673754.1
NEUDI_91750		CPAR2_500270	C405220CA	AFUB_042860	SPAC959.09c	MGG_02981	CAGL0K09108g	NEUTE1DRAFT_149499	FGRAMPH1_01G11091	AN4735	NCU01963	SAKL0H06182g	Skud_15.415	Sbay_8.298	Spar_15.454	Smik_15.432	NP_014892.3	XP_003674582.1
NEUDI_88543	CNAG_07591	CPAR2_302280	C404550CA	AFUB_066840	SPAP14E8.04	MGG_07052	CAGL0G02321g	NEUTE1DRAFT_58041	FGRAMPH1_01G07511	AN1850	NCU01041	SAKL0G00506g	Skud_11.324	Sbay_11.323	Spar_11.379	Smik_11.350	NP_013013.2	XP_003673274.1
NEUDI_69034	CNAG_03902	CPAR2_204560	CR05530CA	AFUB_027990		MGG_12739	CAGL0M02651g	NEUTE1DRAFT_147430	FGRAMPH1_01G03807	AN6293	NCU03352	SAKL0H07370g	Skud_16.147	Sbay_16.177	Spar_16.192	Smik_6.332	NP_015192.1	XP_003675510.1
NEUDI_128233	CNAG_00184	CPAR2_602120	C601920CA	AFUB_007830	SPAC4G9.04c	MGG_08573	CAGL0K11374g	NEUTE1DRAFT_147145	FGRAMPH1_01G15165	AN5124	NCU01696	SAKL0H12584g	Skud_4.489	Sbay_2.395	Spar_4.542	Smik_4.474	NP_010514.3	XP_003674729.1
	CNAG_05239	CPAR2_210060	C204960CA		SPAC2C4.04c		CAGL0G02013g					SAKL0G01056g	Skud_11.311	Sbay_11.310	Spar_11.365	Smik_11.337	NP_013000.3	XP_003677292.1
							CAGL0B01639g					SAKL0H15972g	Skud_4.396	Sbay_2.298	Spar_4.444	Smik_4.381	NP_010421.1	XP_003674807.1
NEUDI_167127	CNAG_01890	CPAR2_802800	CR01620CA	AFUB_064450	SPAC9.09	MGG_06712	CAGL0I04994g	NEUTE1DRAFT_121966	FGRAMPH1_01G20565	AN4443	NCU06512	SAKL0F12100g	Skud_5.212	Sbay_5.207	Spar_5.255	Smik_5.232	NP_011015.3	XP_003674368.1
NEUDI_97592	CNAG_07488	CPAR2_406660	C207010WA	AFUB_067060	SPBC2G5.01	MGG_05188	CAGL0M10615g	NEUTE1DRAFT_62623	FGRAMPH1_01G23079	AN2056	NCU06200	SAKL0A01848g	Skud_14.353	Sbay_14.376	Spar_14.385	Smik_14.351	NP_014418.3	XP_003676386.1
NEUDI_81389	CNAG_04148	CPAR2_500180	C210530CA	AFUB_095640	SPAC19E9.02	MGG_03026	CAGL0I04422g	NEUTE1DRAFT_126102	FGRAMPH1_01G27169	AN9504	NCU03187	SAKL0C07744g	Skud_1.73	Sbay_1.84	Spar_1.86	Smik_1.78	NP_009410.1	XP_003676586.1
NEUDI_155855	CNAG_04395	CPAR2_200380	CR10470CA	AFUB_075870	SPAC664.08c	MGG_04641	CAGL0H01419g	NEUTE1DRAFT_131735	FGRAMPH1_01G09819	AN7526	NCU04787	SAKL0G09922g	Skud_4.561	Sbay_2.465	Spar_4.675	Smik_4.548	NP_010585.3	XP_003677105.1
		CPAR2_108600	C103230CA		SPBC23E6.05		CAGL0L06314g					SAKL0H17446g	Skud_4.360	Sbay_2.261	Spar_4.407	Smik_4.345	NP_010386.1	XP_003674851.1
NEUDI_82741	CNAG_04044	CPAR2_210520	C110880WA	AFUB_039420	SPBC244.02c	MGG_03271	CAGL0K06215g	NEUTE1DRAFT_148377	FGRAMPH1_01G19413	AN5010	NCU05894	SAKL0G05830g	Skud_4.725	Sbay_2.624	Spar_4.818	Smik_4.726	NP_010737.1	XP_003676969.1
NEUDI_167402	CNAG_04078	CPAR2_502610	C505020CA	AFUB_023360	SPAPB17E12.11	MGG_04500	CAGL0J08569g	NEUTE1DRAFT_69197	FGRAMPH1_01G06719	AN7426	NCU03995	SAKL0E09702g	Skud_15.249	Sbay_8.138	Spar_15.292	Smik_15.262	NP_014728.1	XP_003675124.1
NEUDI_124088	CNAG_02998	CPAR2_106720	C102090CA	AFUB_074210	SPAC1F3.09	MGG_07744	CAGL0G03069g	NEUTE1DRAFT_126556	FGRAMPH1_01G01441	AN3937	NCU02495	SAKL0F06138g	Skud_7.392	Sbay_7.376	Spar_7.407	Smik_6.179	NP_011607.3	XP_003676544.1
		CPAR2_205720	CR08540CA				CAGL0I06116g					SAKL0C05720g	Skud_10.60	Sbay_6.235	Spar_10.79	Smik_10.78	NP_012379.2	XP_003678288.1
		CPAR2_203230	CR06820WA		SPBC17A3.02		CAGL0M06633g					SAKL0E07348g	Skud_9.87	Sbay_9.113	Spar_9.95	Smik_9.98	NP_012179.3	XP_003675075.1
		CPAR2_804000	CR00810WA				CAGL0M10681g					SAKL0A01716g	Skud_14.356	Sbay_14.379	Spar_14.388	Smik_14.354	NP_014421.3	XP_003673400.1
		CPAR2_209640	C204790CA				CAGL0J06930g					SAKL0H08206g	Skud_16.162	Sbay_16.192	Spar_16.207	Smik_6.317	NP_015207.1	XP_003675529.1
		CPAR2_303820	C501080CA				CAGL0G06380g					SAKL0D14168g	Skud_15.523	Sbay_8.411	Spar_15.574	Smik_15.539	NP_015000.3	XP_003676646.1
		CPAR2_212460	C201950CA				CAGL0H07491g					SAKL0H10824g	Skud_2.285	Sbay_4.409	Spar_2.318	Smik_2.298	NP_009716.1	XP_003674695.1
		CPAR2_212070	C202170WA				CAGL0L05082g					SAKL0B12100g	Skud_11.150	Sbay_11.147	Spar_11.181	Smik_11.162	NP_012846.1	XP_003677978.1
		CPAR2_303230	C502750CA		SPBC15D4.03		CAGL0I00968g					SAKL0G01694g	Skud_15.203	Sbay_8.91	Spar_15.237	Smik_15.217	NP_014681.1	XP_003677309.1
		CPAR2_303470	C501890WA				CAGL0E02167g					SAKL0C12276g	Skud_15.41	Sbay_15.49	Spar_15.59	Smik_15.41	NP_014530.1	XP_003675825.1
		CPAR2_501950	C503560WA				CAGL0H02343g					SAKL0D02112g	Skud_13.434	Sbay_13.447	Spar_13.456	Smik_13.476	NP_013990.1	XP_003675416.1
		CPAR2_101050	C504840CA				CAGL0I02376g					SAKL0H02156g	Skud_7.584	Sbay_7.547	Spar_7.612	Smik_16.56	NP_011767.3	XP_003676818.1
							CAGL0C01991g					SAKL0F01012g	Skud_6.137	Sbay_12.11	Spar_6.161	Smik_7.366	NP_116704.1	XP_003677231.1
							CAGL0D02222g					SAKL0B11022g	Skud_15.518	Sbay_8.404	Spar_15.569	Smik_15.534	NP_014995.1	XP_003676653.1
NEUDI_85116	CNAG_00300	CPAR2_204760	CR06740WA	AFUB_027170	SPBC365.15	MGG_07129	CAGL0I02464g	NEUTE1DRAFT_121592	FGRAMPH1_01G19631	AN5873	NCU05296	SAKL0H02046g	Skud_8.236	Sbay_15.372	Spar_8.269	Smik_8.256	NP_012042.1	XP_003676077.1
												SAKL0A02112g	Skud_13.374	Sbay_13.388	Spar_13.403	Smik_13.414	NP_013933.1	XP_003673406.1
			C504830WA									SAKL0H02354g	Skud_7.582	Sbay_7.544	Spar_7.610	Smik_16.58	NP_011765.1	XP_003676814.1
			C402560CA				CAGL0F05357g					SAKL0H13266g	Skud_4.469	Sbay_2.374	Spar_4.519	Smik_4.453	NP_010493.1	XP_003674751.1
	CNAG_03390	CPAR2_205770	CR08590WA		SPBC56F2.07c		CAGL0C02585g					SAKL0H02750g	Skud_12.482	Sbay_10.514	Spar_12.534	Smik_12.484	NP_013501.1	XP_003678472.1
NEUDI_128474	CNAG_02940	CPAR2_200240	CR10800CA	AFUB_098330	SPAC521.04c	MGG_01381	CAGL0M04147g	NEUTE1DRAFT_84402	FGRAMPH1_01G03927	AN6986	NCU05360	SAKL0C13398g	Skud_14.19	Sbay_14.19	Spar_14.14	Smik_14.11	NP_014078.1	XP_003676563.1
							CAGL0K01001g					SAKL0G14366g	Skud_7.534	Sbay_7.492	Spar_7.555	Smik_16.108	NP_011714.3	XP_003673659.1
		CPAR2_206850	C106640CA				CAGL0D04834g					SAKL0F03542g	Skud_16.424	Sbay_16.461	Spar_16.497	Smik_16.380	NP_015459.1	XP_003674111.1
NEUDI_164978	CNAG_06714	CPAR2_404480	C306250WA	AFUB_070080	SPAC23H4.03c	MGG_08210	CAGL0H04741g	NEUTE1DRAFT_76132	FGRAMPH1_01G07377	AN4165	NCU01342	SAKL0G05214g	Skud_13.139	Sbay_13.149	Spar_13.141	Smik_13.139	NP_013701.1	XP_003676952.1
NEUDI_83939	CNAG_02382	CPAR2_700790	C112310CA	AFUB_002590	SPBC800.06	MGG_01078	CAGL0I07975g	NEUTE1DRAFT_147038	FGRAMPH1_01G15013	AN10055	NCU01524	SAKL0C10428g	Skud_15.76	Sbay_15.89	Spar_15.101	Smik_15.82	NP_014565.2	XP_003674987.1
NEUDI_80401	CNAG_07494	CPAR2_213710	C200070CA	AFUB_062970	SPAC23C11.03	MGG_07258	CAGL0D05874g	NEUTE1DRAFT_87988	FGRAMPH1_01G07123	AN4298	NCU03952	SAKL0G12430g	Skud_10.224	Sbay_12.84	Spar_10.272	Smik_10.280	NP_012535.3	XP_003676228.1
		CPAR2_213300	C200480CA	AFUB_028220	SPAC27D7.04	MGG_06132	CAGL0K03201g		FGRAMPH1_01G26175	AN6276	NCU06401	SAKL0D13068g	Skud_8.27	Sbay_8.34	Spar_8.36	Smik_8.24	NP_011845.1	XP_003674202.1
	CNAG_05688	CPAR2_211000	C204150CA	AFUB_027090	SPBC3B9.18c	MGG_01556	CAGL0D04048g		FGRAMPH1_01G26735	AN5880	NCU04387	SAKL0H20570g	Skud_7.304	Sbay_7.301	Spar_7.317	Smik_7.307	NP_011534.1	XP_003673143.1
NEUDI_103120	CNAG_04900	CPAR2_303210	C502730CA	AFUB_008350		MGG_03150	CAGL0M08646g	NEUTE1DRAFT_84315	FGRAMPH1_01G14965	AN1385	NCU05426	SAKL0G01760g	Skud_4.530	Sbay_2.435	Spar_4.643	Smik_4.518	NP_010553.3	XP_003675885.1
NEUDI_94526	CNAG_01187	CPAR2_206510	C205230CA	AFUB_082720	SPAC926.08c	MGG_10382	CAGL0L10516g	NEUTE1DRAFT_126998	FGRAMPH1_01G02917	AN10200	NCU08595	SAKL0G00726g	Skud_11.318	Sbay_11.317	Spar_11.372	Smik_11.344	NP_013007.1	XP_003677282.1
NEUDI_11541	CNAG_07988	CPAR2_207680	C108130CA	AFUB_090130	SPBC29A3.14c		CAGL0A00869g	NEUTE1DRAFT_19417	FGRAMPH1_01G02605	AN3753	NCU02791	SAKL0H22770g	Skud_12.402	Sbay_10.414	Spar_12.445	Smik_12.403	NP_013422.2	XP_003678419.1
NEUDI_69506	CNAG_04365	CPAR2_805980	C304560WA	AFUB_010180	SPAC4F10.09c	MGG_06346	CAGL0M11154g	NEUTE1DRAFT_150299	FGRAMPH1_01G03289	AN1200	NCU09894	SAKL0B06556g	Skud_4.315	Sbay_2.219	Spar_4.362	Smik_4.298	NP_010345.3	XP_003678149.1
NEUDI_92059	CNAG_03103	CPAR2_800320	CR00370WA	AFUB_074180	SPAC24H6.03	MGG_07731	CAGL0F08635g	NEUTE1DRAFT_133644	FGRAMPH1_01G00949	AN3939	NCU02498	SAKL0H22858g	Skud_7.289	Sbay_7.286	Spar_7.302	Smik_7.292	NP_011517.1	XP_003673458.1
NEUDI_165761	CNAG_05921	CPAR2_503080	C303760WA	AFUB_089230	SPCC1235.15	MGG_00503	CAGL0J03674g	NEUTE1DRAFT_119028	FGRAMPH1_01G03327	AN11072	NCU02665	SAKL0H06578g	Skud_15.412	Sbay_8.295	Spar_15.451	Smik_15.429	NP_014888.1	XP_003674621.1
NEUDI_165404	CNAG_05455	CPAR2_407770	C210710WA	AFUB_095820	SPBC25H2.07	MGG_04941	CAGL0H02409g	NEUTE1DRAFT_118422	FGRAMPH1_01G10493	AN8712	NCU07437	SAKL0D02178g	Skud_13.431	Sbay_13.444	Spar_13.453	Smik_13.473	NP_013987.1	XP_003675418.1
NEUDI_127550	CNAG_00580	CPAR2_703470	C702940CA	AFUB_006900	SPBC1271.15c	MGG_11482	CAGL0A01980g	NEUTE1DRAFT_85676	FGRAMPH1_01G20091	AN10535	NCU06103	SAKL0D10274g	Skud_15.134	Sbay_15.144	Spar_15.160	Smik_15.142	NP_014619.1	XP_003673833.1
NEUDI_81470	CNAG_04462	CPAR2_401020	C401470WA	AFUB_025120	SPCC1827.08c	MGG_13493	CAGL0M11418g	NEUTE1DRAFT_91233	FGRAMPH1_01G27371	AN6086	NCU03146	SAKL0H16588g	Skud_12.165	Sbay_10.181	Spar_12.171	Smik_12.156	NP_013198.1	XP_003674966.1
NEUDI_164760	CNAG_00247	CPAR2_808420	C306590WA	AFUB_068370	SPBC3B8.03	MGG_17041	CAGL0C03443g	NEUTE1DRAFT_58317	FGRAMPH1_01G00919	AN5601	NCU03748	SAKL0A00308g	Skud_14.382	Sbay_14.405	Spar_14.414	Smik_14.380	NP_014448.1	XP_003673508.1
NEUDI_122684	CNAG_04405	CPAR2_106810	C101820CA	AFUB_054590	SPBP16F5.02	MGG_15176	CAGL0K05115g	NEUTE1DRAFT_76685	FGRAMPH1_01G05123	AN2211	NCU01067	SAKL0F13398g	Skud_16.310	Sbay_16.352	Spar_16.372	Smik_16.266	NP_015350.1	XP_003674402.1
NEUDI_81201	CNAG_07506	CPAR2_801370	CR02430CA	AFUB_090250	SPCC18.03	MGG_00137	CAGL0M06919g	NEUTE1DRAFT_90955	FGRAMPH1_01G23901	AN3761	NCU03273	SAKL0E07634g	Skud_14.306	Sbay_14.324	Spar_14.338	Smik_14.308	NP_014375.1	XP_003677617.1
NEUDI_83950	CNAG_05395	CPAR2_210930	C202440WA	AFUB_091370	SPAC23H4.14	MGG_01054	CAGL0D00572g	NEUTE1DRAFT_147047	FGRAMPH1_01G15045	AN10849	NCU01539	SAKL0G15972g	Skud_4.179	Sbay_4.171	Spar_4.204	Smik_4.159	NP_010206.1	XP_003673210.1
NEUDI_72019	CNAG_03302	CPAR2_200140	CR10650WA	AFUB_054070	SPAC3F10.17	MGG_07524	CAGL0J00891g	NEUTE1DRAFT_75403		AN2262	NCU04165	SAKL0G11528g	Skud_11.84	Sbay_11.82	Spar_11.113	Smik_11.93	NP_012779.1	XP_003677067.1
NEUDI_93649		CPAR2_700330	C114050CA	AFUB_026600	SPAC23A1.19c	MGG_13223	CAGL0H01243g	NEUTE1DRAFT_145256	FGRAMPH1_01G04699	AN10757	NCU06365	SAKL0G10318g	Skud_4.553	Sbay_2.457	Spar_4.667	Smik_4.540	NP_010577.3	XP_003677099.1
NEUDI_122866	CNAG_04341	CPAR2_303620	C501720CA	AFUB_002430	SPCC18.04	MGG_07486	CAGL0F02497g	NEUTE1DRAFT_144504	FGRAMPH1_01G24781	AN10061	NCU03658	SAKL0C04004g	Skud_10.12	Sbay_6.283	Spar_10.29	Smik_10.28	NP_012331.1	XP_003672966.1
NEUDI_166107	CNAG_02817	CPAR2_800840	CR01750CA	AFUB_098190	SPAC9E9.07c	MGG_06135	CAGL0F02123g	NEUTE1DRAFT_78959	FGRAMPH1_01G19767	AN6974	NCU06404	SAKL0B02332g	Skud_6.66	Sbay_6.54	Spar_6.85	Smik_6.73	NP_116650.1	XP_003675756.1
NEUDI_77852	CNAG_00772	CPAR2_210250	C201850WA	AFUB_053580	SPBC2D10.12	MGG_01656	CAGL0L01309g	NEUTE1DRAFT_117137	FGRAMPH1_01G23137	AN2304	NCU07542	SAKL0D11814g	Skud_5.53	Sbay_5.32	Spar_5.40	Smik_5.56	NP_010877.3	XP_003677650.1
NEUDI_164970	CNAG_03435	CPAR2_806100	C304380CA	AFUB_022990	SPAC607.03c	MGG_02467	CAGL0I03234g	NEUTE1DRAFT_115856	FGRAMPH1_01G07041	AN1319	NCU01331	SAKL0D11330g	Skud_5.69	Sbay_5.43	Spar_5.56	Smik_5.78	NP_010888.1	XP_003673774.1
NEUDI_123016	CNAG_07572	CPAR2_806760	C306060WA	AFUB_053700	SPAC29A4.20	MGG_05481	CAGL0M06369g	NEUTE1DRAFT_76377	FGRAMPH1_01G04925	AN2294	NCU01229	SAKL0H09548g	Skud_16.197	Sbay_16.226	Spar_16.242	Smik_16.151	NP_015239.1	XP_003674663.1
NEUDI_73265	CNAG_05730	CPAR2_502470	C502400WA	AFUB_095520	SPAC8E11.04c	MGG_02811	CAGL0D02398g	NEUTE1DRAFT_89385	FGRAMPH1_01G20223	AN8748	NCU02027	SAKL0H15752g	Skud_12.190	Sbay_10.209	Spar_12.197	Smik_12.184	NP_013219.1	XP_003675688.1
NEUDI_167953	CNAG_03236	CPAR2_212960	C200770WA	AFUB_039740	SPAC688.03c	MGG_03868	CAGL0M04763g	NEUTE1DRAFT_85652	FGRAMPH1_01G23769	AN3064	NCU06113	SAKL0H04796g	Skud_15.452	Sbay_8.337	Spar_15.494	Smik_15.469	NP_014932.1	XP_003674526.1
							CAGL0J04136g					SAKL0H07348g	Skud_15.387	Sbay_8.273	Spar_15.426	Smik_15.406	NP_014864.4	XP_003674595.1
		CPAR2_202680	C113310WA				CAGL0F02453g					SAKL0C04092g	Skud_10.14	Sbay_6.281	Spar_10.32	Smik_10.30	NP_012334.1	XP_003676855.1
NEUDI_87190	CNAG_02288	CPAR2_100870	C504440CA	AFUB_032610		MGG_07616	CAGL0M09020g	NEUTE1DRAFT_146766	FGRAMPH1_01G22599	AN7287	NCU08561	SAKL0F14234g	Skud_10.317	Sbay_12.183	Spar_10.372	Smik_10.383	NP_012629.1	XP_003677717.1
NEUDI_107202	CNAG_01236	CPAR2_103960	C204570WA	AFUB_059900	SPAC17H9.05	MGG_02453	CAGL0L00341g	NEUTE1DRAFT_76317	FGRAMPH1_01G24867	AN0074	NCU01257	SAKL0C05170g	Skud_11.53	Sbay_11.51	Spar_11.76	Smik_11.57	NP_012749.1	XP_003678297.1
NEUDI_89255	CNAG_05469	CPAR2_203020	CR06470WA	AFUB_082650	SPBC17D11.02c	MGG_09205	CAGL0E02299g	NEUTE1DRAFT_144610	FGRAMPH1_01G04551	AN1488	NCU04633	SAKL0E01958g	Skud_15.148	Sbay_15.159	Spar_15.177	Smik_15.157	NP_014630.1	XP_003676144.1
NEUDI_71884	CNAG_07598	CPAR2_208280	C107690CA	AFUB_094270	SPBC30B4.05	MGG_03994	CAGL0H07821g	NEUTE1DRAFT_127323	FGRAMPH1_01G24133	AN6591	NCU04104	SAKL0F00968g	Skud_7.28	Sbay_7.22	Spar_7.29	Smik_7.22	NP_011276.1	XP_003676460.1
NEUDI_87785	CNAG_04222	CPAR2_204680	CR05660WA	AFUB_014590	SPBC106.14c	MGG_03291	CAGL0F08129g	NEUTE1DRAFT_64288	FGRAMPH1_01G03891	AN0844	NCU09488	SAKL0H02442g	Skud_7.578	Sbay_7.540	Spar_7.605	Smik_16.62	NP_011761.3	XP_003676806.1
NEUDI_122883		CPAR2_803530	C109460WA	AFUB_064880	SPAC13G6.11c	MGG_16219	CAGL0F03861g	NEUTE1DRAFT_144523	FGRAMPH1_01G19063	AN3869	NCU03633	SAKL0H05500g	Skud_13.377	Sbay_13.391	Spar_13.405	Smik_13.416	NP_013935.1	XP_003675467.1
NEUDI_60938	CNAG_00462	CPAR2_303810	C501960CA	AFUB_039060	SPAC20G8.04c	MGG_08880	CAGL0G06402g	NEUTE1DRAFT_87128	FGRAMPH1_01G09927	AN4977	NCU04768	SAKL0D14190g	Skud_15.524	Sbay_8.412	Spar_15.575	Smik_15.540	NP_015001.1	XP_003676645.1
NEUDI_92696	CNAG_00499	CPAR2_800630	CR01980CA	AFUB_000650		MGG_10492	CAGL0B04543g	NEUTE1DRAFT_129003	FGRAMPH1_01G26627	AN5356	NCU07263	SAKL0E10186g	Skud_15.265	Sbay_8.154	Spar_15.307	Smik_15.280	NP_014743.1	XP_003675139.1
							CAGL0H06765g					SAKL0E15224g	Skud_9.8	Sbay_9.26	Spar_9.12	Smik_9.9	NP_012107.1	XP_003677252.1
NEUDI_75015	CNAG_03009	CPAR2_213750	C201090CA	AFUB_027300	SPBC337.09	MGG_05097	CAGL0J02684g		FGRAMPH1_01G18473	AN5862	NCU04461	SAKL0F07810g	Skud_5.153	Sbay_5.144	Spar_5.180	Smik_5.168	NP_010962.1	XP_003676605.1
NEUDI_58659	CNAG_00879	CPAR2_104190	C207900WA	AFUB_023080	SPCC132.04c	MGG_05247	CAGL0G05698g	NEUTE1DRAFT_63763	FGRAMPH1_01G14529	AN7451	NCU00461	SAKL0E13024g	Skud_4.38	Sbay_4.32	Spar_4.49	Smik_4.24	NP_010066.1	XP_003675984.1
NEUDI_124150	CNAG_05722	CPAR2_601240	C603720WA	AFUB_083700	SPAC23C11.09	MGG_03607	CAGL0E05390g	NEUTE1DRAFT_126487	FGRAMPH1_01G02279	AN9419	NCU02566	SAKL0B10494g	Skud_15.500	Sbay_8.385	Spar_15.547	Smik_15.513	NP_014980.3	XP_003676658.1
NEUDI_73745	CNAG_03724	CPAR2_202170	CR04170WA	AFUB_050290	SPBP8B7.20c	MGG_01292	CAGL0J10032g	NEUTE1DRAFT_150546	FGRAMPH1_01G19849	AN8073	NCU02511	SAKL0E08624g	Skud_14.271	Sbay_14.280	Spar_14.279	Smik_14.266	NP_014338.3	XP_003677542.1
NEUDI_167229	CNAG_04441	CPAR2_108740	C103370WA	AFUB_004530	SPAC57A7.04c	MGG_09505	CAGL0L11792g	NEUTE1DRAFT_87204	FGRAMPH1_01G09919	AN4000	NCU04799	SAKL0H17952g	Skud_5.304	Sbay_5.299	Spar_5.362	Smik_5.337	NP_011092.1	XP_003673315.1
							CAGL0G02959g					SAKL0F05918g	Skud_7.385	Sbay_7.371	Spar_7.400	Smik_6.170	NP_011603.1	XP_003676548.1
							CAGL0I05962g					SAKL0C06072g	Skud_10.69	Sbay_6.226	Spar_10.88	Smik_10.87	NP_012389.1	XP_003678282.1
							CAGL0H04895g					SAKL0H03806g	Skud_12.461	Sbay_10.492	Spar_12.513	Smik_12.463	NP_013480.1	XP_003678449.1
NEUDI_126685	CNAG_02020	CPAR2_800310	CR00400CA	AFUB_064470	SPAC9G1.13c	MGG_08095	CAGL0F08613g	NEUTE1DRAFT_148807	FGRAMPH1_01G07207	AN4445	NCU04002	SAKL0H22836g	Skud_7.288	Sbay_7.285	Spar_7.301	Smik_7.291	NP_011516.1	XP_003673470.1
NEUDI_92266	CNAG_05877	CPAR2_303770	C500690CA	AFUB_066010	SPBC776.18c	MGG_03605	CAGL0K06369g	NEUTE1DRAFT_92029	FGRAMPH1_01G27767	AN1668	NCU02587	SAKL0G06182g	Skud_4.735	Sbay_2.635	Spar_4.829	Smik_4.738	NP_010748.3	XP_003673732.1
NEUDI_165135	CNAG_02059	CPAR2_207150	C108430WA	AFUB_093200	SPAC20G4.01	MGG_09520	CAGL0K12474g	NEUTE1DRAFT_127329	FGRAMPH1_01G24123	AN6512	NCU04097	SAKL0B01518g	Skud_6.42	Sbay_6.30	Spar_6.54	Smik_6.50	NP_116625.1	XP_003675737.1
NEUDI_91635		CPAR2_802390	CR03160WA	AFUB_095990	SPAC25B8.15c	MGG_03665	CAGL0D06336g	NEUTE1DRAFT_125395	FGRAMPH1_01G10179	AN8696	NCU02014	SAKL0H23716g	Skud_7.234	Sbay_7.224	Spar_7.241	Smik_7.233	NP_011465.3	XP_003673527.1
NEUDI_168212	CNAG_01469	CPAR2_209060	C111240CA	AFUB_070590	SPCC1442.12	MGG_03550	CAGL0C03069g		FGRAMPH1_01G20149	AN10701	NCU02381	SAKL0F02090g	Skud_5.135	Sbay_5.122	Spar_5.162	Smik_5.149	NP_010943.3	XP_003677204.1
NEUDI_53736	CNAG_07483	CPAR2_405800	C306080WA	AFUB_042260	SPAC688.10	MGG_02986	CAGL0M02035g	NEUTE1DRAFT_125454	FGRAMPH1_01G11117	AN4789	NCU01951	SAKL0H06072g	Skud_16.115	Sbay_16.143	Spar_16.160	Smik_6.364	NP_015158.1	XP_003675482.1
			C205200CA		SPBP35G2.03c		CAGL0K05445g					SAKL0G00660g	Skud_15.238	Sbay_8.122	Spar_15.280	Smik_15.251	NP_014716.1	XP_003677281.1
		CPAR2_212290	C202720WA				CAGL0M01496g					SAKL0G03872g	Skud_4.669	Sbay_2.572	Spar_4.751	Smik_4.669	NP_010683.3	XP_003674138.1
									FGRAMPH1_01G07849			SAKL0C04136g	Skud_11.121	Sbay_11.116	Spar_11.150	Smik_11.133	NP_012815.1	XP_003677084.1
		CPAR2_500370	C405230CA				CAGL0D02706g					SAKL0G18458g	Skud_8.263	Sbay_15.400	Spar_8.305	Smik_8.286	NP_012067.4	XP_003673575.1
NEUDI_96967	CNAG_07463	CPAR2_109440	C101670CA	AFUB_057260	SPCC5E4.04	MGG_06245	CAGL0G03223g	NEUTE1DRAFT_146400	FGRAMPH1_01G18081	AN8783	NCU00205	SAKL0F06380g	Skud_7.397	Sbay_7.381	Spar_7.412	Smik_6.184	NP_011612.3	XP_003676539.1
							CAGL0B04763g					SAKL0D08998g	Skud_3.54	Sbay_3.14	Spar_3.73	Smik_3.77	NP_009922.2	XP_003675833.1
							CAGL0C00341g					SAKL0C04928g	Skud_10.42	Sbay_6.254	Spar_10.57	Smik_10.57	NP_012362.1	XP_003678301.1
							CAGL0B02772g					SAKL0B05016g	Skud_12.444	Sbay_10.461	Spar_12.497	Smik_12.447	NP_013464.3	XP_003678438.1
							CAGL0B03201g					SAKL0D06050g	Skud_11.244	Sbay_11.243	Spar_11.293	Smik_11.268	NP_012936.1	XP_003675216.1
							CAGL0B03399g					SAKL0D06512g	Skud_2.407	Sbay_4.536	Spar_2.452	Smik_2.418	NP_009834.4	XP_003675192.1
							CAGL0B01947g					SAKL0H16610g	Skud_4.384	Sbay_2.284	Spar_4.432	Smik_4.368	NP_010408.1	XP_003674830.1
							CAGL0B02057g					SAKL0H16170g	Skud_4.391	Sbay_2.293	Spar_4.439	Smik_4.376	NP_010415.1	XP_003674824.1
							CAGL0B02123g					SAKL0G15334g	Skud_7.558	Sbay_7.516	Spar_7.582	Smik_16.83	NP_011738.3	XP_003676908.1
												SAKL0F11484g	Skud_4.88	Sbay_4.77	Spar_4.94	Smik_4.69	NP_010112.1	XP_003674355.1
NEUDI_93845	CNAG_02290	CPAR2_106040	C102920WA	AFUB_026950	SPBC17G9.02c	MGG_15720	CAGL0J04510g	NEUTE1DRAFT_120976	FGRAMPH1_01G19807	AN5894	NCU16790	SAKL0G16412g	Skud_12.502	Sbay_10.533	Spar_12.558	Smik_12.505	NP_013522.1	XP_003678489.1
	CNAG_03919	CPAR2_603400	C600090WA	AFUB_022120	SPBP23A10.03c	MGG_17437	CAGL0K05775g	NEUTE1DRAFT_93321	FGRAMPH1_01G03343	AN2103	NCU09255	SAKL0C01452g	Skud_4.786	Sbay_2.691	Spar_4.883	Smik_4.792	NP_010799.3	XP_003672989.1
NEUDI_165557	CNAG_04215	CPAR2_203530	C113870WA	AFUB_042520	SPBC27.08c	MGG_15027	CAGL0B03839g	NEUTE1DRAFT_118529	FGRAMPH1_01G11061	AN4769	NCU01985	SAKL0G14124g	Skud_10.233	Sbay_12.94	Spar_10.281	Smik_10.289	NP_012543.3	XP_003676126.1
